entry_time,exit_time,direction,entry,exit,reason,pnl_usd,capital,risk_mult
2016-04-14 04:15:00,2016-04-14 05:15:00,Long,1230.22,1232.67,Horizon,140.76175711956327,10725.154811749997,1.5
2016-05-13 15:15:00,2016-05-13 15:30:00,Long,1268.68,1265.615895647466,Stop Loss,-160.87732217624995,10564.277489573748,1.5
2016-05-18 21:00:00,2016-05-18 21:15:00,Long,1265.23,1261.858925739826,Stop Loss,-158.4641623436062,10405.813327230142,1.5
2016-06-03 18:15:00,2016-06-03 19:15:00,Short,1240.15,1239.91,Horizon,45.52757190072303,10451.340899130864,1.5
2016-06-03 22:45:00,2016-06-03 23:45:00,Short,1243.97,1244.51,Horizon,-19.148616585993334,10432.192282544871,1.5
2016-06-06 02:45:00,2016-06-06 03:45:00,Short,1248.08,1245.2069998959257,Final TP,192.77668907475118,10624.968971619623,1.4922061983210626
2016-06-06 16:45:00,2016-06-06 17:45:00,Short,1244.21,1245.24,Horizon,35.408276223881764,10660.377247843504,1.5
2016-06-16 21:00:00,2016-06-16 22:00:00,Short,1287.08,1283.47,Horizon,142.9178561962325,10803.295104039737,1.5
2016-06-17 04:45:00,2016-06-17 05:45:00,Long,1278.59,1281.9116038638604,Final TP,214.69002874883236,11017.985132788568,1.4821047907344038
2016-06-21 17:15:00,2016-06-21 18:15:00,Long,1267.27,1270.32,Horizon,136.08139873677197,11154.06653152534,1.5
2016-06-23 22:45:00,2016-06-23 23:00:00,Long,1257.57,1255.143600221697,Stop Loss,-167.3109979728801,10986.755533552461,1.5
2016-06-24 04:30:00,2016-06-24 04:45:00,Short,1267.62,1270.660743573863,Stop Loss,-164.8013330032869,10821.954200549175,1.5
2016-06-24 05:45:00,2016-06-24 06:00:00,Short,1297.12,1303.0174851582037,Stop Loss,-162.32931300823762,10659.624887540936,1.5
2016-06-24 07:00:00,2016-06-24 07:15:00,Short,1327.78,1333.739551028045,Stop Loss,-159.89437331311404,10499.730514227822,1.5
2016-06-24 08:45:00,2016-06-24 09:45:00,Short,1319.77,1322.22,Horizon,44.20135483165505,10543.931869059477,1.5
2016-06-24 09:45:00,2016-06-24 10:45:00,Short,1322.22,1314.6886013081182,Final TP,213.88164878390117,10757.813517843379,1.5
2016-06-24 11:45:00,2016-06-24 12:45:00,Long,1310.87,1315.97,Horizon,151.62444726233193,10909.43796510571,1.5
2016-06-24 14:00:00,2016-06-24 14:45:00,Short,1318.38,1323.8539245722518,Stop Loss,-90.0028632121221,10819.435101893587,1.5
2016-06-24 15:00:00,2016-06-24 15:45:00,Short,1324.26,1329.192214361493,Stop Loss,-89.26033959062099,10730.174762302966,1.5
2016-06-24 16:15:00,2016-06-24 16:30:00,Short,1325.33,1316.76940556981,Final TP,200.31812633098554,10930.492888633951,1.5
2016-06-24 17:45:00,2016-06-24 18:45:00,Short,1315.74,1319.9928728725176,Stop Loss,-90.17656633122881,10840.316322302722,1.5
2016-06-24 21:00:00,2016-06-24 22:00:00,Short,1316.19,1319.18,Horizon,-135.38248933273633,10704.933832969986,1.5
2016-06-27 01:15:00,2016-06-27 01:30:00,Short,1326.0,1327.7257262393512,Stop Loss,-106.52583615492716,10598.407996815058,0.9951097112514572
2016-06-27 02:30:00,2016-06-27 03:30:00,Short,1333.61,1330.73,Horizon,134.55561056121556,10732.963607376274,1.2413835619970743
2016-06-27 04:15:00,2016-06-27 04:30:00,Short,1327.73,1329.588880199217,Stop Loss,-153.81234928632455,10579.151258089949,1.4330836748632632
2016-06-27 05:30:00,2016-06-27 06:30:00,Short,1326.07,1324.36,Horizon,112.12989010210642,10691.281148192056,1.250986830914063
2016-06-27 16:30:00,2016-06-27 17:30:00,Short,1326.84,1324.96,Horizon,85.48524748327836,10776.766395675335,1.5
2016-07-04 05:45:00,2016-07-04 06:45:00,Long,1345.39,1345.85,Horizon,41.51542651907834,10818.281822194413,1.5
2016-07-05 04:30:00,2016-07-05 05:30:00,Long,1339.7,1343.93,Horizon,158.83596474185134,10977.117786936264,1.5
2016-07-08 15:45:00,2016-07-08 16:00:00,Short,1347.27,1353.2780063257464,Stop Loss,-164.65676680404394,10812.46102013222,1.5
2016-07-11 01:45:00,2016-07-11 02:45:00,Short,1372.3,1369.74,Horizon,123.20931054573137,10935.670330677951,1.0751507443959558
